Van (datum);Van (tijdstip);Tot (datum);Tot (tijdstip);EAN-code;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus;Omschrijving
01-06-2026;05:00:00;01-06-2026;05:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;05:15:00;01-06-2026;05:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,370;kWh;Gevalideerd;
01-06-2026;05:15:00;01-06-2026;05:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,065;kVArh;Gevalideerd;
01-06-2026;05:15:00;01-06-2026;05:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;05:15:00;01-06-2026;05:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,065;kVArh;Gevalideerd;
01-06-2026;05:30:00;01-06-2026;05:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,370;kWh;Gevalideerd;
01-06-2026;05:30:00;01-06-2026;05:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,060;kVArh;Gevalideerd;
01-06-2026;05:30:00;01-06-2026;05:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;05:30:00;01-06-2026;05:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,060;kVArh;Gevalideerd;
01-06-2026;05:45:00;01-06-2026;06:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,375;kWh;Gevalideerd;
01-06-2026;05:45:00;01-06-2026;06:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;05:45:00;01-06-2026;06:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;05:45:00;01-06-2026;06:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;06:00:00;01-06-2026;06:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,385;kWh;Gevalideerd;
01-06-2026;06:00:00;01-06-2026;06:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;06:00:00;01-06-2026;06:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;06:00:00;01-06-2026;06:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;06:15:00;01-06-2026;06:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,390;kWh;Gevalideerd;
01-06-2026;06:15:00;01-06-2026;06:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;06:15:00;01-06-2026;06:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;06:15:00;01-06-2026;06:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;06:30:00;01-06-2026;06:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,385;kWh;Gevalideerd;
01-06-2026;06:30:00;01-06-2026;06:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;06:30:00;01-06-2026;06:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;06:30:00;01-06-2026;06:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;06:45:00;01-06-2026;07:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,375;kWh;Gevalideerd;
01-06-2026;06:45:00;01-06-2026;07:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;06:45:00;01-06-2026;07:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;06:45:00;01-06-2026;07:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;07:00:00;01-06-2026;07:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,380;kWh;Gevalideerd;
01-06-2026;07:00:00;01-06-2026;07:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;07:00:00;01-06-2026;07:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;07:00:00;01-06-2026;07:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;07:15:00;01-06-2026;07:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,595;kWh;Gevalideerd;
01-06-2026;07:15:00;01-06-2026;07:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;07:15:00;01-06-2026;07:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;07:15:00;01-06-2026;07:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;07:30:00;01-06-2026;07:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,370;kWh;Gevalideerd;
01-06-2026;07:30:00;01-06-2026;07:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,075;kVArh;Gevalideerd;
01-06-2026;07:30:00;01-06-2026;07:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;07:30:00;01-06-2026;07:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,075;kVArh;Gevalideerd;
01-06-2026;07:45:00;01-06-2026;08:00:00;="541448810000243468";;AMR-meter;Afname Actief;0,395;kWh;Gevalideerd;
01-06-2026;07:45:00;01-06-2026;08:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,070;kVArh;Gevalideerd;
01-06-2026;07:45:00;01-06-2026;08:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;07:45:00;01-06-2026;08:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,070;kVArh;Gevalideerd;
01-06-2026;08:00:00;01-06-2026;08:15:00;="541448810000243468";;AMR-meter;Afname Actief;0,920;kWh;Gevalideerd;
01-06-2026;08:00:00;01-06-2026;08:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,370;kVArh;Gevalideerd;
01-06-2026;08:00:00;01-06-2026;08:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;08:00:00;01-06-2026;08:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,370;kVArh;Gevalideerd;
01-06-2026;08:15:00;01-06-2026;08:30:00;="541448810000243468";;AMR-meter;Afname Actief;0,520;kWh;Gevalideerd;
01-06-2026;08:15:00;01-06-2026;08:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,135;kVArh;Gevalideerd;
01-06-2026;08:15:00;01-06-2026;08:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;08:15:00;01-06-2026;08:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,135;kVArh;Gevalideerd;
01-06-2026;08:30:00;01-06-2026;08:45:00;="541448810000243468";;AMR-meter;Afname Actief;0,635;kWh;Gevalideerd;
01-06-2026;08:30:00;01-06-2026;08:45:00;="541448810000243468";;AMR-meter;Afname Reactief;0,270;kVArh;Gevalideerd;
01-06-2026;08:30:00;01-06-2026;08:45:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,000;kVArh;Gevalideerd;
01-06-2026;08:30:00;01-06-2026;08:45:00;="541448810000243468";;AMR-meter;Afname Inductief;0,270;kVArh;Gevalideerd;
01-06-2026;08:45:00;01-06-2026;09:00:00;="541448810000243468";;AMR-meter;Afname Actief;1,025;kWh;Gevalideerd;
01-06-2026;08:45:00;01-06-2026;09:00:00;="541448810000243468";;AMR-meter;Afname Reactief;0,235;kVArh;Gevalideerd;
01-06-2026;08:45:00;01-06-2026;09:00:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,015;kVArh;Gevalideerd;
01-06-2026;08:45:00;01-06-2026;09:00:00;="541448810000243468";;AMR-meter;Afname Inductief;0,220;kVArh;Gevalideerd;
01-06-2026;09:00:00;01-06-2026;09:15:00;="541448810000243468";;AMR-meter;Afname Actief;3,105;kWh;Gevalideerd;
01-06-2026;09:00:00;01-06-2026;09:15:00;="541448810000243468";;AMR-meter;Afname Reactief;0,105;kVArh;Gevalideerd;
01-06-2026;09:00:00;01-06-2026;09:15:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,100;kVArh;Gevalideerd;
01-06-2026;09:00:00;01-06-2026;09:15:00;="541448810000243468";;AMR-meter;Afname Inductief;0,005;kVArh;Gevalideerd;
01-06-2026;09:15:00;01-06-2026;09:30:00;="541448810000243468";;AMR-meter;Afname Actief;3,155;kWh;Gevalideerd;
01-06-2026;09:15:00;01-06-2026;09:30:00;="541448810000243468";;AMR-meter;Afname Reactief;0,095;kVArh;Gevalideerd;
01-06-2026;09:15:00;01-06-2026;09:30:00;="541448810000243468";;AMR-meter;Afname Capacitief;0,090;kVArh;Gevalideerd;
01-06-2026;09:15:00;01-06-2026;09:30:00;="541448810000243468";;AMR-meter;Afname Inductief;0,005;kVArh;Gevalideerd;
01-06-2026;09:30:00;01-06-2026;09:45:00;="541448810000243468";;AMR-meter;Afname Actief;3,355;kWh;Gevalideerd;
