Date,Price
22/06/2026 21:00,260.04
22/06/2026 22:00,192
22/06/2026 23:00,166.21
23/06/2026 00:00,145.56
23/06/2026 01:00,136.56
23/06/2026 02:00,133.81
23/06/2026 03:00,133.87
23/06/2026 04:00,136.23
23/06/2026 05:00,140.49
23/06/2026 06:00,181.87
23/06/2026 07:00,176.6
23/06/2026 08:00,147.31
23/06/2026 09:00,113.38
23/06/2026 10:00,96.52
23/06/2026 11:00,79.39
23/06/2026 12:00,76.92
23/06/2026 13:00,77.81
23/06/2026 14:00,91.6
23/06/2026 15:00,108.11
23/06/2026 16:00,104.4
23/06/2026 17:00,123.19
23/06/2026 18:00,169.83
23/06/2026 19:00,338.4
23/06/2026 20:00,579.08
23/06/2026 21:00,564.08
23/06/2026 22:00,352.47
23/06/2026 23:00,222.55
24/06/2026 00:00,203.4
24/06/2026 01:00,182.77
24/06/2026 02:00,154.41
24/06/2026 03:00,156.35
24/06/2026 04:00,168.05
24/06/2026 05:00,171.06
24/06/2026 06:00,200
24/06/2026 07:00,195.84
24/06/2026 08:00,157.13
24/06/2026 09:00,121.5
24/06/2026 10:00,110.08
24/06/2026 11:00,99.92
24/06/2026 12:00,99.98
24/06/2026 13:00,93.76
24/06/2026 14:00,98.78
24/06/2026 15:00,112.77
24/06/2026 16:00,111.84
24/06/2026 17:00,131.41
24/06/2026 18:00,200
24/06/2026 19:00,552.9
24/06/2026 20:00,887.28
24/06/2026 21:00,933.28
24/06/2026 22:00,688.37
24/06/2026 23:00,350.26
25/06/2026 00:00,168.86
25/06/2026 01:00,151.79
25/06/2026 02:00,138
25/06/2026 03:00,135.95
25/06/2026 04:00,135.1
25/06/2026 05:00,136.42
25/06/2026 06:00,160.45
25/06/2026 07:00,145.91
25/06/2026 08:00,120.55
25/06/2026 09:00,105.01
25/06/2026 10:00,89.25
25/06/2026 11:00,91.21
25/06/2026 12:00,72.45
25/06/2026 13:00,66.42
25/06/2026 14:00,73.38
25/06/2026 15:00,87.3
25/06/2026 16:00,91.95
25/06/2026 17:00,107.81
25/06/2026 18:00,134.86
25/06/2026 19:00,204.18
25/06/2026 20:00,297.27
25/06/2026 21:00,280.86
25/06/2026 22:00,188.96
25/06/2026 23:00,163.03
26/06/2026 00:00,142.62
26/06/2026 01:00,128.08
26/06/2026 02:00,118.74
26/06/2026 03:00,116.85
26/06/2026 04:00,116.48
26/06/2026 05:00,123.92
26/06/2026 06:00,145.9
26/06/2026 07:00,137.4
26/06/2026 08:00,121.8
26/06/2026 09:00,111.18
26/06/2026 10:00,96.55
26/06/2026 11:00,106.35
26/06/2026 12:00,90
26/06/2026 13:00,81.42
26/06/2026 14:00,95.79
26/06/2026 15:00,106.54
26/06/2026 16:00,95.22
26/06/2026 17:00,112.3
26/06/2026 18:00,150.64
26/06/2026 19:00,243.75
26/06/2026 20:00,352.47
26/06/2026 21:00,297.16
26/06/2026 22:00,202.63
26/06/2026 23:00,154.86
27/06/2026 00:00,132.55
27/06/2026 01:00,124.66
27/06/2026 02:00,118.13
27/06/2026 03:00,115.83
27/06/2026 04:00,115.33
27/06/2026 05:00,114
27/06/2026 06:00,112.73
27/06/2026 07:00,109.27
27/06/2026 08:00,112.52
27/06/2026 09:00,79.1
27/06/2026 10:00,36.03
27/06/2026 11:00,35.09
27/06/2026 12:00,27.72
27/06/2026 13:00,0.04
27/06/2026 14:00,3.39
27/06/2026 15:00,12.77
27/06/2026 16:00,49.01
27/06/2026 17:00,97.43
27/06/2026 18:00,123.79
27/06/2026 19:00,171.83
27/06/2026 20:00,244
27/06/2026 21:00,288.83
27/06/2026 22:00,187.51
27/06/2026 23:00,153.72
28/06/2026 00:00,137.36
28/06/2026 01:00,130.68
28/06/2026 02:00,119.68
28/06/2026 03:00,115.69
28/06/2026 04:00,114.74
28/06/2026 05:00,115.12
28/06/2026 06:00,112.06
28/06/2026 07:00,104.43
28/06/2026 08:00,76.69
28/06/2026 09:00,32.81
28/06/2026 10:00,5.24
28/06/2026 11:00,0.41
28/06/2026 12:00,0.03
28/06/2026 13:00,0.36
28/06/2026 14:00,0.03
28/06/2026 15:00,1.62
28/06/2026 16:00,22.69
28/06/2026 17:00,79.05
28/06/2026 18:00,112.95
28/06/2026 19:00,124.46
28/06/2026 20:00,137.08
28/06/2026 21:00,145.94
28/06/2026 22:00,147.38
28/06/2026 23:00,136.91
29/06/2026 00:00,123.12
29/06/2026 01:00,113.67
29/06/2026 02:00,112.94
29/06/2026 03:00,109.44
29/06/2026 04:00,112.96
29/06/2026 05:00,124.47
29/06/2026 06:00,143
29/06/2026 07:00,155.41
29/06/2026 08:00,142.97
29/06/2026 09:00,120.95
29/06/2026 10:00,106.93
29/06/2026 11:00,99.1
29/06/2026 12:00,89.51
29/06/2026 13:00,82.03
29/06/2026 14:00,86.39
29/06/2026 15:00,96.84
29/06/2026 16:00,103.67
29/06/2026 17:00,115.55
29/06/2026 18:00,147.76
29/06/2026 19:00,207.9
29/06/2026 20:00,358.2
29/06/2026 21:00,393.14
29/06/2026 22:00,267.7
29/06/2026 23:00,198.5
30/06/2026 00:00,208.14
30/06/2026 01:00,176.14
30/06/2026 02:00,167.11
30/06/2026 03:00,169.91
30/06/2026 04:00,170.12
30/06/2026 05:00,187.43
30/06/2026 06:00,201.7
30/06/2026 07:00,196.33
30/06/2026 08:00,175.49
30/06/2026 09:00,130.37
30/06/2026 10:00,108.98
30/06/2026 11:00,101.22
30/06/2026 12:00,98.65
30/06/2026 13:00,102.81
30/06/2026 14:00,110.2
30/06/2026 15:00,115.38
30/06/2026 16:00,126.77
30/06/2026 17:00,206.2
30/06/2026 18:00,272.6
30/06/2026 19:00,487.5
30/06/2026 20:00,562.28
30/06/2026 21:00,433.67
30/06/2026 22:00,319.36
30/06/2026 23:00,234.67
